date_index,city,population,season,fever_medicine_sales,cough_medicine_sales,diarrhea_medicine_sales,antibiotic_sales,painkiller_sales,antiviral_sales,outbreak_label
57,Bangalore,471154,0,11,26,12,13,21,3,0
58,Bangalore,454015,2,19,15,28,12,21,5,0
59,Delhi,235075,0,26,29,5,6,28,4,0
60,Chennai,176033,2,15,15,35,12,22,5,0
61,Delhi,184079,2,16,15,22,9,23,3,0
62,Mumbai,75470,0,24,30,10,9,26,8,0
63,Mumbai,193328,0,24,31,10,13,21,6,0
64,Bangalore,30739,2,14,13,30,8,31,3,0
65,Chennai,356198,1,23,13,10,6,19,6,0
66,Kolkata,330330,3,19,21,17,12,17,2,0
67,Chennai,36547,0,22,24,12,12,20,6,0
68,Mumbai,104472,3,21,28,13,5,31,4,0
69,Kolkata,357967,1,14,13,13,11,21,6,0
70,Chennai,116887,1,28,18,15,15,27,5,0
71,Chennai,192503,1,16,15,6,13,30,7,0
72,Kolkata,428692,0,23,34,11,6,28,4,0
73,Mumbai,219483,1,29,13,8,12,26,2,0
74,Chennai,282830,0,10,33,14,8,24,3,0
75,Kolkata,158608,1,15,18,9,8,27,12,0
76,Mumbai,306206,3,23,10,10,11,20,4,0
77,Kolkata,320360,3,18,15,12,14,35,8,0
78,Kolkata,428257,2,21,15,30,14,25,5,0
79,Chennai,303797,3,31,15,11,8,18,3,0
80,Mumbai,31673,2,27,13,27,13,21,4,0
81,Chennai,151439,3,23,16,6,6,23,9,0
82,Delhi,29629,0,20,30,15,12,28,3,0
83,Delhi,130756,3,25,16,11,20,29,3,0
84,Mumbai,121641,2,19,12,38,12,26,5,0
85,Kolkata,491852,2,20,17,31,13,22,7,0
86,Chennai,475406,1,44,14,5,68,25,1,1
87,Chennai,297207,0,20,28,14,18,28,10,0
88,Mumbai,291466,3,22,19,12,12,31,2,0
89,Mumbai,225618,1,22,11,14,14,29,5,0
90,Delhi,284837,3,17,10,10,10,30,6,0
91,Bangalore,150313,3,10,17,7,7,23,9,0
92,Mumbai,432994,1,17,17,12,16,21,7,0
93,Bangalore,374523,1,18,17,11,5,21,4,0
94,Mumbai,284795,1,17,12,7,14,26,2,0
95,Kolkata,167038,1,21,19,9,6,27,5,0
96,Kolkata,281419,1,13,19,14,9,33,3,0
97,Delhi,55606,3,24,14,13,9,31,5,0
98,Delhi,11658,1,14,15,14,13,27,10,0
99,Bangalore,235571,0,21,29,6,9,28,5,0
100,Mumbai,82468,2,18,14,36,13,33,4,0
101,Chennai,417464,1,19,15,6,9,30,3,0
102,Delhi,427653,1,19,10,16,13,18,10,0
103,Chennai,180799,3,21,15,15,11,20,2,0
104,Chennai,159273,1,22,9,7,11,29,7,0
105,Mumbai,51150,1,16,14,13,12,25,7,0
106,Bangalore,256220,1,23,9,11,14,26,5,0
107,Mumbai,493107,3,30,17,9,12,22,3,0
108,Delhi,287143,1,17,13,10,16,26,3,0
109,Chennai,261775,2,20,16,22,21,19,2,0
110,Mumbai,278520,3,15,18,15,10,24,3,0
111,Mumbai,323817,2,17,16,30,4,25,5,0
112,Mumbai,275620,3,18,21,5,11,27,5,0
113,Delhi,258465,1,23,9,15,10,20,1,0
114,Bangalore,342046,2,20,15,32,13,19,4,0
115,Mumbai,363413,3,20,13,16,7,25,5,0
116,Delhi,219066,0,11,27,9,7,23,9,0
117,Chennai,466094,1,16,11,12,12,26,4,0
118,Kolkata,108331,3,46,24,12,59,29,4,1
119,Delhi,423831,0,23,34,10,13,27,6,0
120,Kolkata,21164,3,15,21,11,8,41,2,0
121,Mumbai,311460,0,22,24,9,12,31,8,0
122,Mumbai,209632,1,19,15,11,15,21,6,0
123,Delhi,170631,2,20,21,32,10,29,7,0
124,Kolkata,335112,0,20,26,11,12,28,4,0
125,Mumbai,207872,3,18,15,10,10,26,4,0
126,Chennai,150119,1,15,17,9,16,22,5,0
127,Bangalore,448201,0,17,26,12,18,23,3,0
128,Bangalore,213195,3,17,15,16,3,30,7,0
129,Mumbai,409793,3,14,9,12,13,33,5,0
130,Kolkata,486387,3,19,18,111,16,20,2,1
131,Mumbai,144942,0,23,27,9,14,28,4,0
132,Kolkata,44094,0,27,36,12,2,19,7,0
133,Chennai,327473,0,17,20,9,15,23,1,0
134,Kolkata,150289,2,28,13,22,12,24,9,0
135,Mumbai,355282,0,25,21,4,11,21,4,0
136,Chennai,76141,0,18,31,10,9,28,8,0
137,Delhi,163415,0,21,31,5,11,25,4,0
138,Bangalore,138307,2,23,27,30,14,30,5,0
139,Mumbai,191894,0,22,22,6,14,15,5,0
140,Mumbai,416219,3,20,13,14,17,24,5,0
141,Mumbai,462754,0,24,22,11,13,26,6,0
142,Chennai,435305,3,26,19,8,12,21,6,0
143,Delhi,456811,3,25,11,9,9,17,5,0
144,Kolkata,355341,3,11,12,13,10,37,7,0
145,Delhi,354462,2,16,9,18,16,37,3,0
146,Chennai,171101,2,18,20,24,9,32,5,0
147,Mumbai,89023,2,24,15,28,10,16,5,0
148,Bangalore,454540,0,24,23,8,16,27,6,0
149,Mumbai,324106,3,21,15,10,6,29,4,0
150,Kolkata,385181,2,15,11,33,14,21,7,0
151,Bangalore,180114,2,23,13,41,14,20,4,0
152,Mumbai,97601,0,22,27,6,14,16,7,0
153,Bangalore,479596,2,23,10,29,13,23,3,0
154,Delhi,94859,0,30,31,10,12,25,4,0
155,Chennai,100933,1,22,15,9,11,20,3,0
156,Mumbai,55957,2,20,17,39,9,32,5,0
157,Kolkata,355008,1,28,12,10,16,31,1,0
158,Delhi,398502,0,17,24,11,12,27,7,0
159,Mumbai,315883,3,27,20,9,4,28,2,0
160,Delhi,310877,2,22,21,32,14,20,3,0
161,Kolkata,55389,0,14,26,9,11,24,3,0
162,Mumbai,170787,3,30,15,10,9,32,6,0
163,Kolkata,180188,3,20,20,6,10,31,2,0
164,Bangalore,329066,1,21,12,14,13,23,5,0
165,Kolkata,459467,0,17,32,7,13,20,8,0
166,Bangalore,465010,3,15,13,14,15,21,2,0
167,Mumbai,27580,2,9,20,25,16,24,4,0
168,Bangalore,388044,2,18,17,24,17,23,1,0
169,Mumbai,404039,1,27,19,8,10,16,4,0
170,Mumbai,269073,3,25,18,10,14,22,5,0
171,Chennai,233080,0,26,35,14,13,21,1,0
172,Mumbai,279228,2,25,23,40,14,26,2,0
173,Bangalore,350135,3,18,16,166,7,25,7,1
174,Chennai,413823,3,14,18,12,13,22,6,0
175,Chennai,92455,1,16,21,11,9,31,9,0
176,Mumbai,384684,2,18,17,32,13,22,5,0
177,Kolkata,488146,2,13,11,32,19,25,8,0
178,Kolkata,386684,0,13,34,7,11,25,3,0
179,Chennai,479571,2,14,16,33,13,20,7,0
180,Mumbai,263297,0,15,36,6,13,30,2,0
181,Kolkata,153041,2,17,15,27,7,27,4,0
182,Mumbai,466275,1,11,17,6,10,23,7,0
183,Mumbai,289477,2,22,15,40,13,27,2,0
184,Chennai,480452,0,18,30,9,15,29,2,0
185,Chennai,399326,0,21,32,9,12,33,5,0
186,Delhi,239919,1,26,15,9,13,33,6,0
187,Kolkata,46668,2,19,9,36,10,30,7,0
188,Kolkata,284089,2,20,11,26,13,19,9,0
189,Kolkata,112528,1,15,12,13,12,21,4,0
190,Bangalore,56526,2,19,15,35,7,29,6,0
191,Mumbai,57717,2,17,14,24,7,27,5,0
192,Chennai,462642,0,20,28,12,8,30,10,0
193,Kolkata,242242,2,23,22,28,14,22,5,0
194,Delhi,225238,2,18,21,25,8,27,5,0
195,Kolkata,247644,1,17,16,9,11,23,4,0
196,Mumbai,362624,1,16,16,12,5,26,1,0
197,Mumbai,492112,3,11,20,7,10,29,4,0
198,Chennai,219421,0,18,31,4,12,26,11,0
199,Bangalore,145673,2,24,14,31,7,28,6,0
200,Chennai,285074,2,27,7,26,6,23,2,0
201,Kolkata,14333,3,17,18,6,9,31,3,0
202,Delhi,212007,2,22,16,42,14,24,7,0
203,Chennai,130384,0,42,34,10,82,30,2,1
204,Bangalore,27839,3,20,16,15,7,20,7,0
205,Chennai,323481,0,67,25,12,41,22,5,1
206,Mumbai,443420,3,23,7,8,15,25,1,0
207,Kolkata,30195,3,21,22,10,16,38,5,0
208,Kolkata,431064,1,21,19,7,7,22,8,0
209,Kolkata,99229,0,15,24,12,16,20,4,0
210,Kolkata,385395,2,20,9,29,9,23,6,0
211,Kolkata,122265,2,15,21,28,4,21,2,0
212,Kolkata,270775,0,22,35,13,11,24,7,0
213,Delhi,181926,2,16,21,26,19,24,5,0
214,Bangalore,374130,2,66,22,28,71,22,3,1
215,Kolkata,323142,0,16,27,11,17,31,4,0
216,Bangalore,208462,3,15,20,8,18,32,3,0
217,Kolkata,303702,0,13,27,13,10,21,3,0
218,Chennai,275129,3,19,11,8,16,18,4,0
219,Kolkata,333938,2,26,8,34,13,24,6,0
220,Mumbai,53585,2,21,16,26,9,29,8,0
221,Delhi,225886,2,22,17,31,11,28,4,0
222,Chennai,312408,1,22,10,6,14,21,5,0
223,Chennai,436542,3,24,16,20,17,25,4,0
224,Mumbai,356960,1,13,13,10,10,21,7,0
225,Kolkata,462477,1,30,20,12,10,29,4,0
226,Delhi,44022,0,25,26,8,19,23,8,0
227,Chennai,418883,1,19,17,8,14,33,4,0
228,Delhi,28065,0,15,33,10,9,23,4,0
229,Chennai,386526,0,23,35,10,18,27,3,0
230,Kolkata,138145,1,21,15,11,16,30,6,0
231,Chennai,359335,3,19,17,6,11,19,6,0
232,Chennai,413222,3,21,12,12,16,22,3,0
233,Bangalore,343963,3,21,13,8,11,23,3,0
234,Kolkata,379302,3,21,13,16,13,26,4,0
235,Mumbai,448292,3,21,18,8,8,34,9,0
236,Mumbai,209933,1,20,15,17,12,28,12,0
237,Kolkata,237391,1,17,20,8,10,26,2,0
238,Mumbai,453609,2,27,20,36,8,37,5,0
239,Kolkata,275287,3,19,19,8,6,28,4,0
240,Mumbai,242413,1,20,18,7,10,25,5,0
241,Bangalore,329649,2,16,13,25,13,33,4,0
242,Mumbai,415633,3,22,18,13,19,21,3,0
243,Chennai,172372,0,16,42,15,11,32,5,0
244,Kolkata,495278,2,15,21,38,12,16,3,0
245,Delhi,301040,1,20,16,8,12,25,2,0
246,Delhi,257541,0,14,29,15,14,32,8,0
247,Kolkata,244051,0,18,34,6,10,27,10,0
248,Bangalore,322773,0,23,34,7,9,24,5,0
249,Mumbai,430822,2,17,13,38,6,24,7,0
250,Bangalore,49916,1,19,14,9,5,35,4,0
251,Delhi,71330,0,28,26,11,14,16,7,0
252,Kolkata,279695,3,12,23,9,12,27,4,0
253,Kolkata,373116,0,17,32,105,9,28,6,1
254,Bangalore,391767,0,20,33,11,11,25,2,0
255,Bangalore,197494,2,17,20,185,16,18,5,1
256,Mumbai,385360,2,18,18,29,15,28,5,0
257,Chennai,339926,1,16,12,6,7,27,5,0
258,Chennai,337535,3,22,10,12,10,37,6,0
259,Mumbai,377101,2,32,16,24,9,20,5,0
260,Chennai,133546,0,20,33,12,11,28,7,0
261,Delhi,397150,1,53,14,9,78,32,7,1
262,Chennai,73411,0,18,43,10,14,34,6,0
263,Mumbai,250509,0,24,33,8,12,20,4,0
264,Chennai,83185,2,26,13,27,9,23,3,0
265,Kolkata,141960,1,26,17,130,16,18,6,1
266,Bangalore,137574,3,18,15,9,15,26,8,0
267,Delhi,198207,3,26,10,15,12,18,5,0
268,Kolkata,39424,2,22,13,35,15,37,6,0
269,Kolkata,51559,2,20,14,35,9,23,3,0
270,Mumbai,258290,1,15,16,15,9,23,6,0
271,Bangalore,283219,3,27,12,7,14,20,4,0
272,Bangalore,425915,3,20,16,13,18,19,5,0
273,Delhi,189044,3,19,18,10,9,19,2,0
274,Mumbai,282094,0,22,28,11,15,29,5,0
275,Delhi,146485,3,18,22,9,15,15,8,0
276,Chennai,49305,0,32,29,9,4,30,4,0
277,Kolkata,275713,1,25,21,10,13,31,8,0
278,Delhi,76778,0,17,23,4,7,30,6,0
279,Kolkata,374777,1,38,17,10,16,25,2,0
280,Mumbai,302229,3,21,16,7,8,27,7,0
281,Chennai,479239,3,16,16,13,15,24,1,0
282,Mumbai,487061,1,11,24,11,10,19,3,0
283,Chennai,368451,2,22,15,32,7,25,4,0
284,Chennai,364318,1,22,14,11,14,31,5,0
285,Kolkata,46163,2,17,14,26,8,33,4,0
286,Mumbai,59592,0,18,32,11,12,25,5,0
287,Mumbai,228223,0,22,43,7,16,21,3,0
288,Delhi,198405,0,27,31,5,14,25,9,0
289,Mumbai,389575,3,19,17,10,7,21,10,0
290,Delhi,18039,0,22,36,9,9,28,4,0
291,Bangalore,149270,2,19,20,29,11,30,4,0
292,Bangalore,175426,0,20,34,15,9,24,3,0
293,Bangalore,256585,1,25,15,7,9,23,4,0
294,Mumbai,275968,1,15,8,14,14,24,3,0
295,Mumbai,322564,3,27,16,140,12,30,5,1
296,Delhi,361679,1,17,8,11,11,27,5,0
297,Chennai,13436,2,17,7,36,6,17,4,0
298,Delhi,103550,0,30,32,13,8,28,8,0
299,Bangalore,181929,3,19,13,16,17,18,5,0
300,Delhi,26057,0,19,30,15,14,17,5,0
301,Chennai,11310,0,20,27,9,13,15,6,0
302,Mumbai,136913,2,16,9,32,10,25,5,0
303,Delhi,478571,1,19,11,14,14,26,3,0
304,Bangalore,254841,1,50,12,17,69,30,8,1
305,Bangalore,264988,0,23,32,15,8,32,4,0
306,Mumbai,482209,3,20,11,15,11,30,4,0
307,Delhi,76013,1,25,19,9,9,30,4,0
308,Chennai,332166,3,25,14,9,9,35,3,0
309,Mumbai,149978,1,27,18,12,8,26,6,0
310,Delhi,150940,3,18,14,8,15,33,4,0
311,Kolkata,28546,2,62,10,24,82,23,4,1
312,Bangalore,108812,3,27,19,9,7,25,9,0
313,Chennai,82855,2,29,14,41,5,29,7,0
314,Chennai,43149,2,20,16,29,9,27,3,0
315,Chennai,385735,3,17,15,10,15,29,5,0
316,Bangalore,208453,2,22,11,31,14,22,3,0
317,Delhi,164756,0,20,26,10,14,27,4,0
318,Mumbai,302002,2,21,12,33,7,19,5,0
319,Delhi,55330,1,23,20,10,10,29,7,0
320,Mumbai,265052,3,23,20,8,14,37,6,0
321,Chennai,200276,0,22,30,10,16,22,6,0
322,Delhi,364347,3,15,16,9,10,28,3,0
323,Chennai,297437,1,10,16,7,12,25,6,0
324,Kolkata,329013,1,22,15,7,8,23,3,0
325,Chennai,362573,1,21,15,15,13,23,4,0
326,Chennai,145701,2,17,18,26,15,25,5,0
327,Mumbai,15704,2,16,21,30,11,22,6,0
328,Kolkata,142848,3,43,19,19,55,16,3,1
329,Chennai,198327,3,23,16,9,11,31,4,0
330,Chennai,58281,0,19,30,9,11,25,2,0
331,Kolkata,126972,0,84,31,12,12,100,4,1
332,Kolkata,123532,3,19,13,9,11,29,4,0
333,Delhi,434452,2,18,18,35,16,30,4,0
334,Mumbai,76780,1,21,13,12,8,13,5,0
335,Kolkata,404549,3,23,15,14,5,22,3,0
336,Kolkata,210277,0,23,29,10,11,34,0,0
337,Bangalore,486336,2,20,8,28,8,28,6,0
338,Kolkata,454162,3,23,10,13,14,29,4,0
339,Mumbai,254955,3,22,10,8,13,19,4,0
340,Chennai,327477,2,18,12,28,16,28,8,0
341,Chennai,168349,3,31,13,11,10,27,4,0
342,Chennai,191678,2,21,12,31,14,18,3,0
343,Chennai,143005,1,12,18,10,12,27,4,0
344,Bangalore,174586,2,24,16,32,19,23,7,0
345,Kolkata,263130,2,23,16,39,10,16,7,0
346,Chennai,248408,2,23,14,32,16,30,7,0
347,Delhi,99893,3,25,19,12,8,25,3,0
348,Chennai,233679,3,40,13,15,66,19,3,1
349,Kolkata,335102,2,27,9,33,12,21,7,0
350,Chennai,410043,3,19,15,8,11,15,10,0
351,Bangalore,40844,0,18,18,10,12,26,8,0
352,Mumbai,386645,0,24,38,11,12,25,7,0
353,Mumbai,363344,3,19,18,12,12,36,3,0
354,Kolkata,10792,3,30,12,12,19,25,6,0
355,Mumbai,442911,2,24,16,34,17,25,7,0
356,Mumbai,93187,1,26,11,11,13,21,5,0
357,Delhi,52510,3,25,17,9,12,31,6,0
358,Kolkata,442353,0,24,15,10,10,22,8,0
359,Kolkata,123104,2,22,10,26,11,23,6,0
360,Mumbai,487826,3,68,8,6,49,21,4,1
361,Mumbai,214482,0,23,32,6,13,14,6,0
362,Mumbai,485428,0,22,28,5,16,20,6,0
363,Bangalore,311776,1,14,13,15,11,24,4,0
364,Chennai,177862,2,23,12,27,15,38,9,0
365,Bangalore,355712,2,26,10,32,14,19,5,0
366,Kolkata,270851,1,22,7,16,12,30,4,0
367,Delhi,434101,1,22,14,76,15,17,7,1
368,Chennai,75214,2,23,13,19,16,29,5,0
369,Delhi,479760,2,18,8,12,15,36,5,0
370,Kolkata,54870,3,13,13,9,14,24,4,0
371,Kolkata,269289,3,17,19,7,12,24,4,0
372,Delhi,58110,1,25,23,8,7,28,11,0
373,Delhi,381558,3,19,11,9,14,22,6,0
374,Delhi,146243,0,19,23,6,10,20,1,0
375,Kolkata,150661,3,17,13,14,6,30,1,0
376,Mumbai,28077,3,15,10,9,7,27,3,0
377,Delhi,337018,0,21,27,11,12,26,4,0
378,Chennai,475462,1,19,17,13,11,36,7,0
379,Kolkata,256797,0,18,28,12,13,31,6,0
380,Bangalore,488988,3,20,12,10,8,29,4,0
381,Bangalore,179299,1,12,8,11,10,29,5,0
382,Chennai,418153,3,26,14,10,10,34,3,0
383,Mumbai,281898,0,23,26,18,11,22,2,0
384,Delhi,297832,0,19,34,10,18,19,6,0
385,Kolkata,279192,3,22,15,7,10,19,3,0
386,Delhi,294712,2,29,15,30,7,26,2,0
387,Kolkata,369727,2,24,19,27,13,23,7,0
388,Bangalore,478235,0,15,34,8,8,32,10,0
389,Delhi,420761,0,25,34,11,10,27,6,0
390,Chennai,486165,2,14,9,31,13,19,4,0
391,Mumbai,104449,2,12,13,29,9,33,5,0
392,Chennai,55217,3,17,24,17,15,26,6,0
393,Mumbai,189194,3,18,10,10,12,22,4,0
394,Delhi,174818,2,11,12,21,9,22,1,0
395,Delhi,411925,3,22,13,8,17,19,9,0
396,Mumbai,137873,3,16,16,8,18,25,10,0
397,Bangalore,297502,1,25,15,10,11,24,5,0
398,Kolkata,124064,3,14,20,6,14,27,3,0
399,Chennai,283167,0,21,25,7,11,23,3,0
400,Chennai,105387,3,18,20,9,11,25,3,0
401,Chennai,169828,3,30,15,4,18,24,4,0
402,Delhi,466391,2,15,17,32,11,26,6,0
403,Chennai,195353,0,17,35,12,7,29,4,0
404,Kolkata,452505,3,21,14,14,7,23,2,0
405,Kolkata,461313,3,25,23,16,14,29,7,0
406,Mumbai,479897,1,24,13,11,8,23,7,0
407,Delhi,96728,3,27,16,9,15,25,3,0
408,Kolkata,188331,3,11,12,7,13,30,5,0
409,Bangalore,159911,1,21,21,10,14,17,1,0
410,Delhi,299554,2,48,11,25,51,26,9,1
411,Delhi,115696,3,17,14,11,14,21,3,0
412,Kolkata,283591,1,16,20,4,12,18,4,0
413,Bangalore,127954,0,14,28,9,13,22,9,0
414,Mumbai,96569,2,55,19,30,48,34,6,1
415,Kolkata,247963,0,18,37,10,7,27,6,0
416,Bangalore,216737,0,24,26,10,17,21,5,0
417,Delhi,368038,1,24,9,9,15,26,5,0
418,Bangalore,286051,3,25,16,9,14,24,4,0
419,Delhi,31637,1,23,9,6,6,33,5,0
420,Kolkata,179268,1,30,15,11,11,23,10,0
421,Kolkata,425585,1,17,14,15,16,17,4,0
422,Chennai,236089,1,26,9,9,18,30,5,0
423,Chennai,238289,2,25,18,26,15,30,2,0
424,Chennai,143661,3,22,16,8,12,22,7,0
425,Kolkata,33560,0,21,34,8,18,24,6,0
426,Mumbai,275178,0,22,29,7,10,22,3,0
427,Kolkata,141241,3,19,16,12,12,15,5,0
428,Bangalore,102449,0,20,29,12,12,23,7,0
429,Kolkata,13239,3,17,23,7,6,36,2,0
430,Kolkata,13415,0,14,23,13,13,24,3,0
431,Delhi,488704,1,20,14,7,8,20,2,0
432,Delhi,349088,0,14,25,9,17,33,3,0
433,Delhi,144556,3,17,16,13,10,26,1,0
434,Kolkata,326131,3,30,19,7,10,21,7,0
435,Mumbai,28225,3,14,12,10,11,34,4,0
436,Bangalore,90459,3,18,12,6,18,17,2,0
437,Bangalore,202176,3,15,17,12,12,26,5,0
438,Mumbai,293080,2,18,9,31,15,17,6,0
439,Mumbai,311756,2,20,17,22,14,33,1,0
440,Bangalore,488162,0,40,36,12,75,19,5,1
441,Chennai,367677,3,16,14,9,11,22,4,0
442,Delhi,393021,0,27,30,12,15,21,5,0
443,Delhi,374413,3,18,18,14,15,29,8,0
444,Bangalore,49952,3,22,20,8,18,20,9,0
445,Mumbai,331089,2,18,11,38,13,24,5,0
446,Chennai,228471,2,26,19,28,15,25,5,0
447,Bangalore,277524,1,23,12,14,14,29,0,0
448,Delhi,191370,2,22,8,21,10,15,7,0
449,Kolkata,489462,1,20,16,18,11,23,3,0
450,Mumbai,90821,1,17,18,16,8,29,7,0
451,Kolkata,430476,1,18,19,10,11,30,6,0
452,Bangalore,436095,1,19,10,9,7,25,7,0
453,Delhi,157215,1,24,19,11,9,22,4,0
454,Chennai,321888,0,17,34,9,10,20,8,0
455,Kolkata,214021,2,14,19,33,8,16,4,0
456,Chennai,172650,1,104,16,14,7,97,6,1
457,Delhi,352406,3,14,16,11,9,22,2,0
458,Kolkata,329475,2,24,16,25,16,20,8,0
459,Chennai,102551,2,21,10,32,13,28,9,0
460,Chennai,335959,1,21,15,16,8,19,4,0
461,Kolkata,81519,0,18,27,16,16,28,3,0
462,Delhi,160250,1,15,10,5,10,30,6,0
463,Chennai,102526,0,18,28,13,8,32,9,0
464,Bangalore,216929,3,28,14,10,11,25,9,0
465,Kolkata,201269,2,20,11,48,10,32,9,0
466,Mumbai,119365,3,23,12,7,14,24,6,0
467,Mumbai,308510,0,14,32,11,13,25,4,0
468,Delhi,456171,0,19,41,11,14,23,6,0
469,Bangalore,109830,3,16,13,15,11,34,6,0
470,Chennai,247285,0,22,27,6,14,22,6,0
471,Mumbai,314055,3,19,11,11,15,24,6,0
472,Delhi,355566,2,16,14,28,10,21,4,0
473,Bangalore,63619,3,16,8,10,11,27,6,0
474,Bangalore,447512,2,22,12,30,14,32,6,0
475,Delhi,294935,3,31,13,10,9,20,3,0
476,Delhi,280445,0,22,34,12,9,17,3,0
477,Chennai,136866,3,13,12,11,16,23,3,0
478,Delhi,241730,0,15,27,8,9,19,6,0
479,Chennai,113623,3,13,9,8,5,18,4,0
480,Chennai,384968,3,21,15,9,16,28,11,0
481,Kolkata,438995,1,14,13,15,13,12,3,0
482,Bangalore,46894,0,10,37,11,8,37,3,0
483,Bangalore,351762,1,16,10,11,16,21,5,0
484,Bangalore,452466,0,89,35,11,18,68,9,1
485,Kolkata,343138,1,22,9,15,12,35,3,0
486,Chennai,51770,2,19,10,27,8,24,8,0
487,Chennai,32300,3,19,12,9,9,25,2,0
488,Delhi,128025,0,26,26,13,11,20,8,0
489,Kolkata,209307,0,20,23,11,15,19,3,0
490,Delhi,432701,3,14,11,11,11,20,2,0
491,Kolkata,392749,0,26,21,10,16,24,5,0
492,Delhi,50285,0,23,31,10,11,20,3,0
493,Mumbai,207627,1,22,18,9,13,20,2,0
494,Bangalore,127713,0,17,31,11,14,31,7,0
495,Bangalore,173543,2,13,15,33,12,27,7,0
496,Chennai,58671,2,26,14,28,16,30,7,0
497,Mumbai,390360,3,13,18,10,10,24,7,0
498,Bangalore,292414,0,26,44,7,11,26,4,0
499,Chennai,491367,3,15,19,9,19,13,8,0
500,Mumbai,129870,2,17,12,27,13,27,4,0
501,Bangalore,137897,0,23,29,12,3,31,7,0
502,Delhi,416914,0,27,35,10,17,22,3,0
503,Kolkata,255526,3,20,18,10,17,28,9,0
504,Mumbai,244954,2,25,25,24,14,27,8,0
505,Chennai,344409,0,15,29,11,9,12,2,0
506,Mumbai,180801,3,20,12,7,6,23,5,0
507,Chennai,21171,2,29,12,30,10,22,7,0
508,Mumbai,482699,3,90,14,12,9,76,8,1
509,Chennai,332828,1,20,18,9,8,20,3,0
510,Bangalore,458381,0,61,28,13,93,26,7,1
511,Delhi,59948,1,17,16,7,14,29,5,0
512,Bangalore,44725,2,20,17,27,12,26,4,0
513,Delhi,291594,1,19,13,13,8,25,6,0
514,Bangalore,416516,1,15,17,17,11,35,5,0
515,Bangalore,398044,2,24,16,25,10,31,2,0
516,Mumbai,94600,3,20,15,6,11,28,3,0
517,Kolkata,145513,1,19,12,82,14,32,6,1
518,Chennai,121315,3,28,13,12,9,32,3,0
519,Chennai,422548,1,47,13,12,58,25,7,1
